ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688390.SH,20250429,20250331,上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金,3175146.0,1.3088,1.3089,,开放式投资基金
688390.SH,20250429,20250331,方刚,6032880.0,2.4868,2.4869,0.0,自然人
688390.SH,20250429,20250331,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,2214245.0,0.9127,0.9128,-318120.0,开放式投资基金
688390.SH,20250429,20250331,卢进军,4023436.0,1.6585,1.6586,0.0,自然人
688390.SH,20250429,20250331,苏州合众聚德投资企业(有限合伙),5426260.0,2.2368,2.2368,0.0,投资公司
688390.SH,20250429,20250331,黄敏,74774000.0,30.8236,30.8237,0.0,自然人
688390.SH,20250429,20250331,卢红萍,9258905.0,3.8167,3.8167,-35000.0,自然人
688133.SH,20250430,20250331,许峰源,7535346.0,4.5825,4.5825,0.0,自然人
688133.SH,20250430,20250331,中信证券股份有限公司-社保基金17052组合,2743076.0,1.6681,1.6682,0.0,其他金融产品
688133.SH,20250430,20250331,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,6000000.0,3.6488,3.6488,0.0,其他金融产品
688133.SH,20250430,20250331,上海科技创业投资股份有限公司,2388750.0,1.4526,1.4527,0.0,资产管理公司
688133.SH,20250430,20250331,张庆,7541225.0,4.586,4.5861,0.0,自然人
688133.SH,20250430,20250331,张华,7540049.0,4.5853,4.5854,0.0,自然人
688133.SH,20250430,20250331,谢应波,16239432.0,9.8757,9.8758,0.0,自然人
688133.SH,20250430,20250331,王靖宇,7539266.0,4.5848,4.5849,0.0,自然人
688018.SH,20250430,20250331,宁波梅山保税港区乐鲀投资管理合伙企业(有限合伙),1078893.0,0.9615,0.9616,-32338.0,一般企业
688509.SH,20250429,20250331,黄国强,3570000.0,0.4636,0.9278,0.0,自然人
836975.BJ,20250430,20250331,李启明,1177273.0,1.4588,2.2883,0.0,自然人
836975.BJ,20250430,20250331,杨森茂,5390171.0,6.6795,10.4772,0.0,自然人
688509.SH,20250429,20250331,中地信私募基金(北京)有限公司-宁波中地信壹号投资管理合伙企业(有限合伙),4857741.0,0.6308,1.2624,-5172259.0,投资公司
836975.BJ,20250430,20250331,上海盛宇股权投资基金管理有限公司-江苏盛宇华天创业投资合伙企业(有限合伙),770000.0,0.9541,1.4967,,风险投资公司
688509.SH,20250429,20250331,杭建平,5461732.0,0.7093,1.4194,111532.0,自然人
688337.SH,20250430,20250331,易方达基金管理有限公司-社保基金17042组合,1396276.0,0.7193,2.1241,-397689.0,其他金融产品
688337.SH,20250430,20250331,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1304640.0,0.6721,1.9847,,开放式投资基金
688337.SH,20250430,20250331,景顺长城基金-中国人寿保险股份有限公司-分红险-景顺长城基金国寿股份成长股票型组合单一资产管理计划(可供出售),3354421.0,1.7281,5.103,673239.0,基金专户理财
688539.SH,20250430,20250331,中国银行股份有限公司-鹏华高质量增长混合型证券投资基金,2287608.0,1.2304,2.224,0.0,开放式投资基金
688539.SH,20250430,20250331,赵建平,5300000.0,2.8506,5.1526,400000.0,自然人
688539.SH,20250430,20250331,基本养老保险基金一二零三组合,1756085.0,0.9445,1.7072,8711.0,基本养老保险基金
688539.SH,20250430,20250331,南京邦盛投资管理有限公司-苏州邦盛赢新创业投资企业(有限合伙),4480000.0,2.4096,4.3554,0.0,风险投资公司
688539.SH,20250430,20250331,陈路,940000.0,0.5055,0.9139,,自然人
688539.SH,20250430,20250331,陈新,5600000.0,3.012,5.4443,0.0,自然人
836736.BJ,20250430,20250331,苏州工业园区创业投资引导基金管理中心,1242309.0,2.2187,2.2188,0.0,风险投资公司
688081.SH,20250430,20250331,招商银行股份有限公司-广发电子信息传媒产业精选股票型发起式证券投资基金,890633.0,0.8643,0.8644,,开放式投资基金
688081.SH,20250430,20250331,陈爱民,3255840.0,3.1597,3.1598,0.0,自然人
688081.SH,20250430,20250331,程家明,40408060.0,39.2158,39.2159,0.0,自然人
